"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Nematoda",91396356,221490,179790397,797,NA,NA,NA,NA,NA
"Nematoda",67517376,94694,167373117,2635,NA,55.2,39.7,5.1,44.8
"Nematoda",75189456,47539,33723996,676,NA,97.8,1.3,0.9,2.2
"Nematoda",75403409,154455,125651637,801,NA,85.5,10,4.5,14.5
"Nematoda",63738504,293019,450171544,1996,NA,63.9,30.9,5.2,36.1
"Nematoda",67471773,81834,193327927,3835,NA,37.8,56,6.2,62.2
"Nematoda",64768096,66105,129561572,3209,NA,46.9,47.4,5.7,53.1
"Nematoda",74521983,182798,159190099,881,NA,88,8.8,3.2,12
"Oribatida",66451404,59784,243017619,7223,NA,9.3,87.2,3.5,90.7
"Oribatida",69857412,68324,77953954,1277,NA,32.5,40.4,27.1,67.5
"Isopoda",73543099,234552,264129718,1253,NA,48.8,16.7,34.5,51.2
"Diplopoda",92983931,72612,364817766,9466,NA,10.1,81,8.9,89.9
"Diplopoda",69720441,191883,281437799,1897,NA,26.1,41.4,32.5,73.9
"Diplopoda",80025042,242642,347551316,1731,NA,NA,NA,NA,NA
"Diplopoda",68175552,61872,347932751,13372,NA,12,79.9,8.1,88
"Diplopoda",75888968,65187,350109252,12721,NA,12.9,77.9,9.2,87.1
"Chilopoda",65897647,27882,142967170,13504,NA,3.9,92.1,4,96.1
"Collembola",69466089,27915,148934766,14673,NA,6.7,90.2,3.1,93.3
"Collembola",73642038,12452,148880474,33762,NA,5.1,92.6,2.3,94.9
"Collembola",67729444,43449,112386321,4593,NA,NA,NA,NA,NA
"Collembola",82693560,61151,305379873,14780,NA,NA,NA,NA,NA
"Collembola",75173715,81301,328229926,9674,NA,7,87.9,5.1,93
"Collembola",69911841,109182,230134105,3425,NA,10.1,81.5,8.4,89.9
"Collembola",72930301,21196,200799618,24629,NA,2.9,94.7,2.4,97.1
"Collembola",79715446,10738,150582592,74181,NA,8.8,89.5,1.7,91.2
"Collembola",69330671,144986,236597628,2261,NA,13.2,69.5,17.3,86.8
"Collembola",65157490,47909,146302907,6109,NA,7.7,85.7,6.6,92.3
"Collembola",66891682,14657,178163809,35380,NA,5.4,92,2.6,94.6
"Collembola",69442332,57924,331944770,13876,NA,4.5,92.2,3.3,95.5
"Nematoda",70795854,9985,7402068,711,0.260000000000005,NA,NA,NA,NA
"Nematoda",95015433,2473,2400426,1025,0.299999999999997,NA,NA,NA,NA
"Nematoda",75204295,18472,16819918,891,1.98,NA,NA,NA,NA
"Nematoda",86769852,29853,143829971,7894,0.969999999999999,NA,NA,NA,NA
"Acari",2349974,3363,3030816,861,1.06,99.8,0.1,0.1,0.2
"Enchytraeidae",2542017,2108,2300551,1218,4.43000000000001,100,0,0,0
"Lumbricina",2224255,4012,3755454,959,8.15000000000001,99.9,0,0.1,0.1
"Lumbricina",1897489,2892,2911738,1085,8.55,99.9,0,0.1,0.1
"Lumbricina",2220889,3544,3412669,998,4.53,99.8,0,0.2,0.2
"Lumbricina",2670946,5039,4845016,994,8.43000000000001,99.8,0.1,0.1,0.2
"Lumbricina",2570035,4012,3724640,934,10.17,99.9,0,0.1,0.1
"Lumbricina",2828422,4771,4606227,997,5.98,99.9,0,0.1,0.1
"Lumbricina",2531496,4644,4259287,922,7.59999999999999,99.8,0.1,0.1,0.2
"Lumbricina",2658645,4733,4418210,942,7.59999999999999,99.8,0,0.2,0.2
"Lumbricina",1704336,2801,2670853,999,6.05,99.9,0,0.1,0.1
"Collembola",4446537,18969,13469780,680,4.58,99.8,0.1,0.1,0.2
"Collembola",2264220,12943,9139416,674,2.62,99.9,0,0.1,0.1
"Collembola",4323966,20373,14519906,683,5.93000000000001,99.7,0,0.3,0.3
"Oribatida",1316793,6542,4812835,698,38.98,99.9,0.1,0,0.1
"Oribatida",2828416,9128,7432018,751,2.16,99.5,0.3,0.2,0.5
"Oribatida",340318,339,297728,886,3.69,100,0,0,0
"Oribatida",4738725,6130,4859262,741,4.94,99.5,0.2,0.3,0.5
"Collembola",2164960,11933,8414342,670,0.280000000000001,99,0.1,0.9,1
"Collembola",2118627,23527,18829040,762,0.219999999999999,98.4,0.6,1,1.6
"Collembola",1130872,3449,2314749,632,4.2,99.8,0,0.2,0.2
"Collembola",3978833,19732,13631388,660,1.93000000000001,99.4,0.1,0.5,0.6
"Collembola",4061995,22023,16542605,720,3.33,99.1,0.3,0.6,0.9
"Collembola",1982642,2162,1758634,796,1.84,99.9,0,0.1,0.1
"Enchytraeidae",1247097,1549,1129877,698,3.76000000000001,NA,NA,NA,NA
"Enchytraeidae",2194333,2437,2153839,878,2.23,100,0,0,0
"Enchytraeidae",1367572,1560,1419500,919,3.12,100,0,0,0
"Enchytraeidae",1843570,2175,2093396,1000,2.90000000000001,99.9,0.1,0,0.1
"Enchytraeidae",2259261,3362,3750674,1239,2.03,100,0,0,0
"Enchytraeidae",1777480,3534,2913257,812,7.12,100,0,0,0
"Enchytraeidae",1499277,2068,1630871,736,8.23,99.9,0,0.1,0.1
"Acari",2023315,30,24647,844,11.13,NA,NA,NA,NA
"Acari",1408075,449,298800,623,20.91,100,0,0,0
"Acari",3817158,2978,2159117,686,32.33,99.8,0.1,0.1,0.2
"Isopoda",65058024,314164,261362421,828,2.87,99.2,0.3,0.5,0.8
"Isopoda",69897615,90063,209945911,4122,0.390000000000001,8.3,82.3,9.4,91.7
"Isopoda",67228580,235561,196456909,836,3.33,98.9,0.6,0.5,1.1
"Chilopoda",71473078,69836,161054304,4110,0.290000000000006,11,70.6,18.4,89
"Chilopoda",69131890,87224,198389748,4136,0.219999999999999,6.8,87.3,5.9,93.2
"Isopoda",70336283,159982,127647931,763,2.06999999999999,99.6,0.3,0.1,0.4
"Isopoda",76588119,357982,433158172,1377,4.73,79.8,8.4,11.8,20.2
"Isopoda",67710768,221219,197474040,910,1.88,85.3,3.2,11.5,14.7
"Isopoda",67785948,176237,144928411,814,1.92,99.4,0.2,0.4,0.6
"Diplopoda",NA,37784,159414358,11551,0.469999999999999,10.4,84,5.6,89.6
"Chilopoda",75963245,452229,398249148,881,0.230000000000004,96.6,1.2,2.2,3.4
"Diplopoda",68113623,55970,269541015,10421,1.45,9.5,82.9,7.6,90.5
"Diplopoda",80643869,79357,374359733,8852,0.430000000000007,9.8,79.3,10.9,90.2
"Diplopoda",71957287,49154,229291123,11556,0.370000000000005,20.4,68.7,10.9,79.6
"Diplopoda",72471845,22675,176913806,30151,1.5,5.3,92.2,2.5,94.7
"Chilopoda",70799926,45262,321085688,15344,1.26000000000001,7.6,86.5,5.9,92.4
"Diplopoda",70189176,64742,279298455,9794,0.650000000000006,10.5,82,7.5,89.5
"Diplopoda",71263304,62110,270160041,7491,0.969999999999999,21.4,64.6,14,78.6
"Chilopoda",69265143,20866,131602344,28783,0.170000000000002,6.2,91.1,2.7,93.8
"Chilopoda",71612565,26184,125913032,11095,0.519999999999996,7.2,87,5.8,92.8
"Chilopoda",66803600,29123,148671165,13030,0.310000000000002,9.2,87.1,3.7,90.8
"Collembola",70204107,49437,155314832,6990,0.0499999999999972,6.3,89.7,4,93.7
"Collembola",68755378,124309,233472586,2865,0.319999999999993,8.3,78.7,13,91.7
"Collembola",69814229,98388,203139002,3284,0.0499999999999972,11.5,72.5,16,88.5
"Collembola",69733265,74419,241752782,7606,0.0400000000000063,7.7,84.6,7.7,92.3
"Collembola",70044097,89772,262139786,6416,0.0600000000000023,9.9,78.8,11.3,90.1
"Collembola",70884502,53265,320331694,17617,0.349999999999994,5.9,90.8,3.3,94.1
"Collembola",68809593,83133,367919098,10837,0.310000000000002,6.6,86,7.4,93.4
"Collembola",71434794,182838,489053436,4823,0.959999999999994,8.8,81.2,10,91.2
"Collembola",91357716,134627,279862278,3019,0.0100000000000051,20,57.9,22.1,80
